"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1671070","N/D","OF-9","Commander Joint Forces Command","To bring coherence to the delivery of joint effect by managing, delivering and championing joint capabilities to support success of military operations today, tomorrow and in the future.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","XX","453561","1","170000","174999","","Military","JFCHQ","1"
"1675461","N/D","OF-7","Chief of Staff JFC","Coordinates the outputs of the new organisation and drives the change programme to achieve FOC by Apr 2013. Acts as TLB focus for Permanent Joint Operating Bases, is the Chief Information Officer for JFC, the Senior Security Risk manager and the JFC member of the Defence Environment and Safety Board.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1671070","5881236","1","110000","114999","","Military","JFCHQ","1"
"1592539","N/D","OF-7","Director Joint Warfare","As the Joint User, defines, measures and validates the Joint Force capabilities and formations required to meet current, contingent and emerging threats; ensures coherence across Defence, through capability oversight, training, force development and the application of lessons.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1671070","215133","1","110000","114999","","Military","JFCHQ - less than 5 reports (CJFC)","1"
"00094472","N/D","SCS2","Director Resources & Policy","Provides TLB functionality to the new organisation, acts as Senior Finance Officer, Senior Policy Advisor and Senior civilian workforce advisor. Personally responsible for the specific delegations made to him by Director General Finance","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1671070","168992","1","80000","84999","","Finance","JFCHQ - less than 5 reports (CJFC)","1"
"1058640","N/D","OF-6","Deputy Director Joint Warfare","As the Joint User, defines, measures and validates the Joint Force capabilities and formations required to meet current, contingent and emerging threats; ensures coherence across Defence, through capability oversight, training, force development and the application of lessons.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1592539","6233944","1","N/A","","","Military","JFCHQ","1"
"1058650","N/D","OF-6","Chief of Joint Force Operations","High Readiness Deployable Commander. Preparing (including training and exploiting Lessons) and delivering JFHQ at very high readiness in order to support UK Defence’s response to crises worldwide. OPCON of JTFHQ Standing Elements (Communications, J2, Life Support). Commanding JFHQ manpower and delegated budget efficiently within agreed limits. Through COS(Ops) to CJO when on operations.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1592539","2728298","1","N/A","","","Military","JFCHQ","1"
"1058663","N/D","OF-6","Commander Joint Force Logistics Component","Standing Deployable Logistic Component Commander. Preparing and delivering JFLogCHQ for all medium and potentially large scale operations in order to support UK Defence’s response to crises worldwide. Delivery of an alternative option for the UK national JTFHQ potentially for small scale operations that are dominated by logistic activity. Command JFLogCHQ manpower and delegated budget efficiently within agreed limits.Through COS(Ops) to CJO when on operations.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1592539","1422733","1","N/A","","","Military","JFCHQ","1"
"00171528","N/D","SCS1","Deputy Director Policy","Provides TLB functionality to the new organisation, acts as Senior Finance Officer, Senior Policy Advisor and Senior civilian workforce advisor. Personally responsible for the specific delegations made to him by Director General Finance","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","00094472","2187655","1","N/A","","","Policy","JFCHQ","1"
"1058619","N/D","OF-8","Chief of Joint Operations","Chief of Joint Operations","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1671070","360772","1","135000","139999","","Military","PJHQ","1"
"1058623","N/D","OF-7","Chief of Staff Operations","Chief of Staff - (Operations) Deputy to Chief of Joint Operations - COS(Ops) is responsible for executing CJO’s primary role; the planning and execution of operations and, by dint of this, is the primus inter-pares of the HQ two-stars and has ultimate responsibility for the coordination, prioritisation and coherence of all staff effort within the HQ","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1058619","219526","1","110000","114999","","Military","PJHQ - less than 5 reports (CJO)","1"
