Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Profession,Notes,Valid?
10000,Simon Fraser,SCS4,Permanent Under-Secretary and Head of the Diplomatic Service,Leading the FCO and the Diplomatic Service,Foreign and Commonwealth Office,Foreign and Commonwealth Office,PUS,0207 008 1500,dp-foi.img@fco.gov.uk,XX,0,1,180000,184999,,Policy,,1
11000,Geoffrey Adams,SCS3,Director General Political,Providing senior policy advice at Board level,Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Political,0207 008 1500,dp-foi.img@fco.gov.uk,10000,408768,1,125000,129999,,Policy,,1
12000,Robert Hannigan,SCS3,Director General Defence & Intelligence,Providing senior policy advice at Board level,Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Defence & Intelligence,0207 008 1500,dp-foi.img@fco.gov.uk,10000,2787524,1,130000,134999,,Policy,,1
13000,Nick Baird,SCS3,Director General Europe & Globalisation,Providing senior policy advice at Board level,Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Europe & Globalisation,0207 008 1500,dp-foi.img@fco.gov.uk,10000,1925198,1,120000,124999,,Policy,,1
14000,James Bevan,SCS3,Director General Operations,Board level leadership of corporate services,Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Operations,0207 008 1500,dp-foi.img@fco.gov.uk,10000,11741988,1,125000,129999,,Operational Delivery,,1
15000,John Ashton,SCS3,Special Representative for Climate Change,Providing senior policy advice on climate change,Foreign and Commonwealth Office,Foreign and Commonwealth Office,PUS,0207 008 1500,dp-foi.img@fco.gov.uk,10000,0,1,130000,134999,,Policy,,1
16000,Vacant,SCS3,Legal Adviser,Providing legal advice,Foreign and Commonwealth Office,Foreign and Commonwealth Office,PUS,N/A,dp-foi.img@fco.gov.uk,10000,2527198,1,0,0,,Law,,1
17000,David Clary,SCS3,Chief Scientific Adviser,Providing senior policy advice on scientific matters,Foreign and Commonwealth Office,Foreign and Commonwealth Office,PUS,0207 008 1500,dp-foi.img@fco.gov.uk,10000,0,1,120000,124999,,Policy,,1
18000,CE UKTI BIS funded post,SCS3,Chief Executive UKTI,Leading UKTI support to British companies in export markets and to foreign investors,Foreign and Commonwealth Office,Foreign and Commonwealth Office,UK Trade & Investment,0207 215 8000,enquiries@bis.gsi.gov.uk,10000,8275054,1,0,0,,Operational Delivery,,1
11100,Karen Pierce,SCS2,Director South Asia and Afghanistan,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,11411642,1,85000,89999,,Policy,,1
11200,Anwar Choudhury,SCS2,Director International Institutions,Senior policy advice on international organisations,Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,6647544,1,85000,89999,,Policy,,1
11300,Christian Turner,SCS2,Director Middle East & North Africa,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,13994419,1,80000,84999,,Policy,,1
11400,Vacant,SCS2,Director Eastern Europe and Central Asia,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Eastern Europe and Central Asia Directorate,N/A,dp-foi.img@fco.gov.uk,11000,4808390,1,0,0,,Policy,,1
11500,Vacant,SCS2,Director International Security,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Political,N/A,dp-foi.img@fco.gov.uk,11000,0,1,0,0,,Policy,,1
12100,Tim Dowse,SCS2,Director Intelligence and National Security,Senior policy advice on national security issues,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Intelligence & National Security Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,524068,1,90000,94999,,Policy,,1
12200,Angus Lapsley,SCS2,Director Americas,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,10445276,1,80000,84999,,Policy,,1
12300,Simon Manley,SCS2,Director Defence & Strategic Threats,Senior policy advice on defence and strategic issues,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and Strategic Threats Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,6237498,1,85000,89999,,Policy,,1
13100,Deborah Bronnert,SCS2,Director Global & Economic Issues,Senior policy advice on global economic issues,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Global & Economic Issues Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,3290190,1,85000,89999,,Policy,,1
13200,Tim Hitchens,SCS2,Director Africa,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,11016108,1,90000,94999,,Policy,,1
13300,Matthew Rycroft,SCS2,Director Europe,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,22282362,1,120000,124999,,Policy,,1
13400,Peter Wilson,SCS2,Director Asia Pacific,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,10497052,1,80000,84999,,Policy,,1
13500,Julian Braithwaite,SCS2,Director Consular,Leading delivery of consular services to British nationals,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Consular Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,8727156,1,80000,84999,,Operational Delivery,,1
14100,Susan le Jeune,SCS2,Director Human Resources,Leading delivery of human resource management,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Human Resources Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,14000,13606308,1,85000,89999,,Human Resources,,1
14200,David Cairns,SCS2,Director Corporate Services,Leading delivery of corporate services,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Corporate Services Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,14000,4137102,1,80000,84999,,Operational Delivery,,1
14300,Alison Currie,SCS2,Director Finance,Leading delivery of financial management,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Finance Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,14000,3267821,1,90000,94999,,Finance,,1
14400,Alan Croney,SCS2,Director Estates and Security,Leading delivery of estates management and security,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Estates & Security Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,14000,5379130,1,120000,124999,,Property and asset management,,1
14500,David Meyer,SCS2,Chief Information Officer,Leading delivery of information technology services,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Information & Technology Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,14000,5762517,1,120000,124999,,Information Technology,,1
19100,Andrew Whyte,SCS2,Director Communications,Leading internal and external communications,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Communications Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,10000,3282171,1,105000,109999,,Communications,,1
19200,Alex Ellis,SCS2,Director Strategy,Providing high level advice on strategy,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Strategy,0207 008 1500,dp-foi.img@fco.gov.uk,10000,547885,1,80000,84999,,Policy,,1
19300,Lindsay Appleby,SCS2,Principal Private Secretary,"Leading private offices, Parliamentary relations and Ministerial support",Foreign and Commonwealth Office,Foreign and Commonwealth Office,Central Units,0207 008 1500,dp-foi.img@fco.gov.uk,10000,2168433,1,80000,84999,,Policy,,1
19400,Gregor Irwin,SCS2,Chief Economist,Providing high level economic advice,Foreign and Commonwealth Office,Foreign and Commonwealth Office,PUS,0207 008 1500,dp-foi.img@fco.gov.uk,10000,448547,1,90000,94999,,Economics,,1
11101,William Patey,SCS3,HMA Kabul,Representing British interests in Afghanistan,Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11100,0,1,130000,134999,,Policy,,1
11102,Richard Stagg,SCS3,BHC New Delhi,Representing British interests in India,Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11100,0,1,135000,139999,,Policy,,1
11103,Adam Thomson,SCS3,BHC Islamabad,Representing British interests in Pakistan,Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11100,0,1,125000,129999,,Policy,,1
11104,Stephen Evans,SCS2,BHC Dhaka,Representing British interests in Bangladesh,Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11100,0,1,80000,84999,,Policy,,1
11105,Michael O'Neill,SCS2,"Head of Provincial Reconstruction Team and NATO Senior Civilian Representative, Helmand",Representing British interests in Helmand Province,Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11100,0,1,80000,84999,,Policy,,1
11106,John Rankin,SCS2,BHC Colombo,Representing British interests in Sri Lanka,Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11100,0,1,85000,89999,,Policy,,1
11107,Catherine Royle,SCS2,Deputy Head of Mission Kabul,Representing British interests in Afghanistan,Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11100,0,1,80000,84999,,Policy,,1
11108,Peter Tibber,SCS2,Deputy Head of Mission Islamabad,Representing British interests in Pakistan,Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11100,0,1,85000,89999,,Policy,,1
11201,Mariot Leslie,SCS3,Ambassador and Permanent Representative to NATO,Representing British interests at NATO,Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11200,0,1,120000,124999,,Policy,,1
11202,Mark Lyall Grant,SCS3,Permanent Representative and Ambassador to the United Nations,Representing British interests at the UN,Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11200,0,1,140000,144999,,Policy,,1
11203,Paul Flaherty,SCS2,Deputy Permanent Representative to NATO,Representing British interests at NATO,Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11200,0,1,90000,94999,,Policy,,1
11204,Philip Parham,SCS2,Ambassador & Deputy Permanent Representative to the United Nations,Representing British interests at the UN,Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11200,0,1,85000,89999,,Policy,,1
11301,John Jenkins,SCS3,HMA Baghdad,Representing British interests in Iraq,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11300,0,1,110000,114999,,Policy,,1
11302,Tom Phillips,SCS3,HMA Riyadh,Representing British interests in Saudi Arabia,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11300,0,1,135000,139999,,Policy,,1
