"Post Unique Reference","Name","Grade","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"00026677","Mr Andrew Manley","SCS3","Chief Executive Defence Infrastructure Organisation","Strategic management of the military estate as a whole, optimising investment and supporting military capability to best effect through the management and delivery of property, infrastructure and related services to all of Defence. Delivery of an estate which is of the right quality and size to efficiently and effectively meets military requirements. Delivery of significant running cost reductions, improved estate utilisation, further estate rationalisation and exploration of commercialisation opportunities in line with Strategic Defence and Security Review (SDSR), Public Accounts Committee (PAC) and Defence Reform recommendations. Provision of infrastructure support to enable success in Afghanistan and other operational and standing commitments. Delivery of coherent and affordable infrastructure solutions to meet Defence needs for the Directed Force, Interim Force 2015, Future Force 2020 and Future Reserves 2020. Provision of an effective, efficient, safe, legal and sustainable infrastructure to Defence","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","01213112140","secretariat@de.mod.uk","XX","N/D","1.00","200000","204999","","Property and asset management","Salary costs of reports included in Hd of Transformation as less than 5 direct reports. This structure represents the Defence Infrastructure Organisation as at 30 September 2011, following a two year transition period commencing 1 April 2011. Roles/posts will be subject to further change in support of the transformation throughout the period to March 2013.","1"
"00149394","Mr David Olney","SCS2","Chief Operating Officer Defence Infrastructure Organisation","Accountable to Chief Executive for estate service delivery across a 240,000 hectare estate in the UK and MOD establishments overseas, including the Volunteer Estate. DIO COO, with a team of over 3000 staff and a budget of some £3Bn, is responsible for delivering agreed and funded hard and soft facilities management services, estate improvement, property acquisition and disposal as well as major estate rationalisation and development projects. Through a geographical and functionally arranged management organisation and key industry suppliers using a variety of contractual arrangements including PFIs, DIO COO is the deliverer of estate services to the MoD including some 69,000 Service Family Homes, 17 major training areas and other MOD facilities such as Catterick Garrison and RAF Brize Norton.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","01213112140","secretariat@de.mod.uk","00026677","N/D","1.00","85000","89999","","Property and asset management","Salary costs of reports included in Hd of Transformation as less than 5 direct reports","1"
"00026652","N/D","SCS1","Chief Finance Officer Defence Infrastructure Organisation","Responsible for: Financial management, including budget setting and forecasting together with monthly reporting to the MOD corporate centre, the Defence Infrastructure Board and its Executive Committee; Annual Financial reporting through the Departmental Resource Accounts; Financial planning including reporting to the MOD corporate centre; IT support and Information Assurance; the Security Services Group (a trading entity of the MOD); and developing future information requirements.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","01213112140","secretariat@de.mod.uk","00026677","8479217","1.00","N/D","","","Finance","","1"
"00136627","N/D","SCS1","Head of Hard Facilities Management Defence Infrastructure Organisation","Management of the five UK mainland Regional Prime Contracts (Scotland, South West, South East, Central, East) delivering construction and routine maintenance work to existing facilities and two Northern Ireland regional contracts delivering routine maintenance work to existing facilities. Delivery of Estate Services to the Volunteer Estate. Provision of a one-stop-shop for specialist environmental and construction services, including in-house consultancy to the whole of DIO. Delivery of professional surveying services across UK MOD infrastructure assets. Management of MOD engagement on development proposals, including those for wind turbines. Proactive management of the Defence Estate in order to optimise military capability, ensuring operational facilities such as aerodromes, explosive stores, radar facilities and range areas are not compromised by developments either on land or offshore.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","01213112140","secretariat@de.mod.uk","00149394","34481471","1.00","N/D","","","Property and asset management","","1"
"00190042","N/D","SCS1","Head of Next Generation Estates Projects Defence Infrastructure Organisation","Head of NGEC programme: Identifying the most cost-effective mix of contract models for estate solutions to meet the future needs of Defence, and undertaking their procurement and transition of service delivery from the current contracts to the new contracts. Replacing current arrangements with industry (to provide management maintenance and development of the UK Defence estate) with a mix of contracts that will deliver the best possible service for the Armed Forces and the rest of UK Defence, and achieve best value for money for the UK taxpayer.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","01213112140","secretariat@de.mod.uk","00149394","2326174","1.00","N/D","","","Property and asset management","Was previously Programme Director Next Generation Estates Contracts","1"
"00027238","N/D","SCS1","Head of Projects and Rationalisation Defence Infrastructre Organisation","Delivers the DIO's projects business, which includes estate rationalisation and disposals work, capital projects, Project SLAM (Single Living Accommodation Modernisation), the Defence Technical, Training Change Programme (DTTCP) and all Housing, Defence Training Estate and Volunteer Estate project business. Act as Programm Director for all Basing and Estate Rationlisation under Basing Optimisation Programme, a Tier 1 under Defence Transition.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","01213112140","secretariat@de.mod.uk","00149394","13239927","1.00","N/D","","","Property and asset management","Was previously Head of Operations South","1"
"00026521","N/D","SCS1","Head of Secretariat Defence Infrastructure Organisation","Handles all Ministerial Business for the DIO, including drafting answers to Parliamentary Questions and Ministerial Correspondence and responding to Freedom of Information requests. Manages all the DIO senior committees, and provides a comprehensive performance and risk management analysis, including Health and Safety, to those committees and the Department. Required to deliver leadership to the DIO on a range of topics including Security and Business Continuity. Within Government, it represents the MOD on a range of topics, including Land Management, non-operational Energy and elements of Sustainable Development during the formation and implementation of wider Government Policy. Handles all media and communications activity for the DIO.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","01213112140","secretariat@de.mod.uk","00026677","3612694","1.00","N/D","","","Operational Delivery","11 commercial posts and salaries temporarily grouped in DIO Sec as legacy Grimstone RDP","1"
"00126455","N/D","SCS1","Head of DIO PFI's","Manage the DIO’s portfolio of Private Finance Initiative (PFI) projects including Project Allenby-Connaught, MoD main Building, Colchester, Corsham, Armada, Project Aquatrine and seven housing contracts, to ensure that contracts deliver their specified outputs at the contracted price. Manage relationships with both PFI efficiencies in delivering these projects through a programme of efficiency reviews and through exploiting the scope for efficiencies by managing the projects as a portfolio.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","01213112140","secretariat@de.mod.uk","00149394","N/D","1.00","N/D","","","Property and asset management","Temporarily residing in the Head of Soft FM 1* area. Salary costs included under Head of Soft FM. Moved into DIO on 1 Apr. Reporting chain outside of DIO as Line Management not changed when transferred into DIO. Line Management chain is in Lands Forces.","1"
"00026464","Eliminated","SCS1","Head of DIO Commercial","No job/team function as post transfered to DGDC on 1 Apr","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","N/A","secretariat@de.mod.uk","00149394","0","1.00","0","0","","Procurement","Post transferred to DGDC on 1 Apr.","1"
"00026667","N/D","SCS1","Head of Transformation","Planning the DIO Transformation Programme and monitoring its overall progress; ensuring programme integrity, coherence and co-ordination of all its composite workstreams. Maintaining governance arrangements and reporting progress; as well as managing dependencies and risks to the programme's success. Monitoring programme costs and realised benefits as the programme progresses. Enabling leadership capability throughout the Transformation and actioning communications with all stakeholders. Developing the workstream and Implementation roll out plans.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","01213112141","secretariat@de.mod.uk","00026677","1017177","1.00","N/D","","","Property and asset management","","1"
