"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"00026677","Mr Andrew Manley","SCS3","Chief Executive Defence Infrastructure Organisation","Strategic management of the military estate as a whole, optimising investment and supporting military capability to best effect through the management and delivery of property, infrastructure and related services to all of Defence. Delivery of an estate which is of the right quality and size to efficiently and effectively meets military requirements. Delivery of significant running cost reductions, improved estate utilisation, further estate rationalisation and exploration of commercialisation opportunities in line with Strategic Defence and Security Review (SDSR), Public Accounts Committee (PAC) and Defence Reform recommendations. Provision of infrastructure support to enable success in Afghanistan and other operational and standing commitments. Delivery of coherent and affordable infrastructure solutions to meet Defence needs for the Directed Force, Interim Force 2015, Future Force 2020 and Future Reserves 2020. Provision of an effective, efficient, safe, legal and sustainable infrastructure to Defence","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","0121 311 2140","DIO Sec-Groupmailbox@mod.uk","XX","428858","1.00","200000","204999","","Property and asset management","This structure represents the Defence Infrastructure Organisation as at 30 Sep 2012, following a two year transition period commencing 1 April 2011. Roles/posts will be subject to further change in support of the transformation throughout the period to March 2013.","1"
"00196904","Dr David Marsh","SCS2","Director Business Partnering","The new role will report to CE-DIO and is defined as an integral member of the DIEC and is therefore expected to participate in DIEC’s wider governance of all DIO’s business activities.   Specifically the role is expected to head up the team negotiating the procurement of a partner into DIO’s own business by 2013.  On completion of the appointment of a Partner the role is expected to endure as providing oversight of the Partner and their delivery of output under agreed contractual structure","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","0121 311 2140","DIO Sec-Groupmailbox@mod.uk","00026677","N/D","1.00","80000","84999","","Property and asset management","Salary costs of reports included in Chief Executive's as less than 5 direct reports.","1"
"00149394","Mr Mark Hutchinson","SCS2","Chief Operating Officer Defence Infrastructure Organisation","Accountable to Chief Executive for estate service delivery across a 240,000 hectare estate in the UK and MOD establishments overseas, including the Volunteer Estate. DIO COO, with a team of over 3000 staff and a budget of some £3Bn, is responsible for delivering agreed and funded hard and soft facilities management services, estate improvement, property acquisition and disposal as well as major estate rationalisation and development projects. Through a geographical and functionally arranged management organisation and key industry suppliers using a variety of contractual arrangements including PFIs, DIO COO is the deliverer of estate services to the MoD including some 69,000 Service Family Homes, 17 major training areas and other MOD facilities such as Catterick Garrison and RAF Brize Norton.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","0121 311 2140","DIO Sec-Groupmailbox@mod.uk","00026677","N/D","1.00","85000","89999","","Property and asset management","Salary costs of reports included in Hd of Soft FM and Hard FM as less than 5 direct reports","1"
"00026652","N/D","SCS1","Chief Finance Officer Defence Infrastructure Organisation","Responsible for: Financial management, including budget setting and forecasting together with monthly reporting to the MOD corporate centre, the Defence Infrastructure Board and its Executive Committee; Annual Financial reporting through the Departmental Resource Accounts; Financial planning including reporting to the MOD corporate centre; IT support and Information Assurance; the Security Services Group (a trading entity of the MOD); and developing future information requirements.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","0121 311 2140","DIO Sec-Groupmailbox@mod.uk","00026677","8958825","1.00","0","0","","Property and asset management","","1"
"00026521","N/D","SCS1","Head of Secretariat Defence Infrastructure Organisation","Handles all Ministerial Business for the DIO, including drafting answers to Parliamentary Questions and Ministerial Correspondence and responding to Freedom of Information requests. Manages all the DIO senior committees, and provides a comprehensive performance and risk management analysis, including Health and Safety, to those committees and the Department. Required to deliver leadership to the DIO on a range of topics including Security and Business Continuity. Within Government, it represents the MOD on a range of topics, including Land Management, non-operational Energy and elements of Sustainable Development during the formation and implementation of wider Government Policy. Handles all media and communications activity for the DIO.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","0121 311 2140","DIO Sec-Groupmailbox@mod.uk","00026677","2872657","1.00","0","0","","Operational Delivery","","1"
"00190042","N/D","SCS1","Head of Next Generation Estates Contracts Defence Infrastructure Organisation","Head of NGEC programme: Identifying the most cost-effective mix of contract models for estate solutions to meet the future needs of Defence, and undertaking their procurement and transition of service delivery from the current contracts to the new contracts. Replacing current arrangements with industry (to provide management maintenance and development of the UK Defence estate) with a mix of contracts that will deliver the best possible service for the Armed Forces and the rest of UK Defence, and achieve best value for money for the UK taxpayer.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","0121 311 2140","DIO Sec-Groupmailbox@mod.uk","00149394","2655909","1.00","0","0","","Property and asset management","","1"
"00027238","N/D","SCS1","Head of Projects Defence Infrastructure Organisation","Delivers the DIO's projects business, which includes estate rationalisation and disposals work, capital projects, Project SLAM (Single Living Accommodation Modernisation), the Defence Technical, Training Change Programme (DTTCP) and all Housing, Defence Training Estate and Volunteer Estate project business. Provides an advisory service to DE&S on the infrastructure elements of hybrid projects. Leads the interface with the Government Construction Board. Acts as Programme Director for all Basing and Estate Rationalisation under Basing Optimisation Programme, a Tier 1 under Defence Transition.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","0121 311 2140","DIO Sec-Groupmailbox@mod.uk","00149394","14906597","1.00","0","0","","Property and asset management","","1"
"00136627","N/D","SCS1","Head of Transformation Defence Infrastructure Organisation","Planning the DIO Transformation Programme and monitoring its overall progress; ensuring programme integrity, coherence and co-ordination of all its composite workstreams. Maintaining governance arrangements and reporting progress; as well as managing dependencies and risks to the programme's success. Monitoring programme costs and realised benefits as the programme progresses. Enabling leadership capability throughout the Transformation and actioning communications with all stakeholders. Developing the workstream and Implementation roll out plans.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","0121 311 2140","DIO Sec-Groupmailbox@mod.uk","00026677","0","1.00","0","0","","Property and asset management","Head of Hard FM duties now transferred to 00194069. Salary costs of reports recorded in Head of Soft FM and Hard FM as less than 5 reports.","1"
"00126455","N/D","SCS1","Head of DIO PFI's","Manage the DIO’s portfolio of Private Finance Initiative (PFI) projects including Project Allenby-Connaught, MoD main Building, Colchester, Corsham, Armada, Project Aquatrine and seven housing contracts, to ensure that contracts deliver their specified outputs at the contracted price. Manage relationships with both PFI efficiencies in delivering these projects through a programme of efficiency reviews and through exploiting the scope for efficiencies by managing the projects as a portfolio.","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","0121 311 2140","DIO Sec-Groupmailbox@mod.uk","00149394","2166441","1.00","0","0","","Property and asset management","","1"
"00195343","Major General Nicholas Ashmore","OF-7","Director Strategic Asset Management and Programming Team","To lead the Defence strategic infrastructure and asset management programming and associated strategy/policy in the context of the effective utilisation, rationalisation and commercialisation of Defence infrastructure. To develop an affordable and prioritised Defence infrastructure programme and strategic asset management plan (SAMP) to meet agreed infrastructure demand, maximise MoD's property portfolio and deliver Defence strategic benefits. Work with stakeholders to identify the infrastructure needed to support Defence capabilities, engaging with the capability planning process and the Centre led Planning Round process.Provide a single Defence focus for infrastructure to enable engagement with OGDs and pan Government bodies e.g. Government Property Unit","Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","0121 311 2140","DIO Sec-Groupmailbox@mod.uk","00026677","666831","1.00","0","0","","Military","","1"
