"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1671070","N/D","OF-9","Commander Joint Forces Command","To bring coherence to the delivery of joint effect by managing, delivering and championing joint capabilities to support success of military operations today, tomorrow and in the future.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","xx","709787","1.00","170000","174999","","Military","JFCHQ","1"
"1675461","N/D","OF-7","Chief of Staff JFC","Coordinates the outputs of the new organisation and drives the change programme to achieve FOC by Apr 2013. Acts as TLB focus for Permanent Joint Operating Bases, is the Chief Information Officer for JFC, the Senior Security Risk manager and the JFC member of the Defence Environment and Safety Board.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1671070","5710668.5","1.00","110000","114999","","Military","JFCHQ","1"
"1592539","N/D","OF-7","Director Joint Warfare","As the Joint User, defines, measures and validates the Joint Force capabilities and formations required to meet current, contingent and emerging threats; ensures coherence across Defence, through capability oversight, training, force development and the application of lessons.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1671070","0","1.00","110000","114999","","Military","JFCHQ - less than 5 reports (CJFC)","1"
"00094472","N/D","SCS2","Director Resources & Policy","Provides TLB functionality to the new organisation, acts as Senior Finance Officer, Senior Policy Advisor and Senior civilian workforce advisor. Personally responsible for the specific delegations made to him by Director General Finance","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1671070","0","1.00","80000","84999","","Finance","JFCHQ - less than 5 reports (CJFC)","1"
"1058640","N/D","OF-6","Deputy Director Joint Warfare","As the Joint User, defines, measures and validates the Joint Force capabilities and formations required to meet current, contingent and emerging threats; ensures coherence across Defence, through capability oversight, training, force development and the application of lessons.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1592539","6259214.1","1.00","N/A","","","Military","JFCHQ","1"
"1058650","N/D","OF-6","Chief of Joint Force Operations","High Readiness Deployable Commander. Preparing (including training and exploiting Lessons) and delivering JFHQ at very high readiness in order to support UK Defence’s response to crises worldwide. OPCON of JTFHQ Standing Elements (Communications, J2, Life Support). Commanding JFHQ manpower and delegated budget efficiently within agreed limits. Through COS(Ops) to CJO when on operations.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1592539","2650839","1.00","N/A","","","Military","JFCHQ","1"
"1058663","N/D","OF-6","Commander Joint Force Logistics Component","Standing Deployable Logistic Component Commander. Preparing and delivering JFLogCHQ for all medium and potentially large scale operations in order to support UK Defence’s response to crises worldwide. Delivery of an alternative option for the UK national JTFHQ potentially for small scale operations that are dominated by logistic activity. Command JFLogCHQ manpower and delegated budget efficiently within agreed limits.Through COS(Ops) to CJO when on operations.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1592539","1312851.5","1.00","N/A","","","Military","JFCHQ","1"
"00171528","N/D","SCS1","Deputy Director Policy","Provides TLB functionality to the new organisation, acts as Senior Finance Officer, Senior Policy Advisor and Senior civilian workforce advisor. Personally responsible for the specific delegations made to him by Director General Finance","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","00094472","2193787","1.00","N/A","","","Policy","JFCHQ","1"
"1058619","N/D","OF-8","Chief of Joint Operations","Chief of Joint Operations","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1671070","327738","1.00","135000","139999","","Military","PJHQ","1"
"1058623","N/D","OF-7","Chief of Staff Operations","Chief of Staff - (Operations) Deputy to Chief of Joint Operations - COS(Ops) is responsible for executing CJO’s primary role; the planning and execution of operations and, by dint of this, is the primus inter-pares of the HQ two-stars and has ultimate responsibility for the coordination, prioritisation and coherence of all staff effort within the HQ","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1058619","0","1.00","110000","114999","","Military","PJHQ - less than 5 reports (CJO)","1"
"1058631","N/D","OF-6","Assistant Chief of Staff Intelligence (J2)","To provide authoritative, relevant, and timely, fused intelligence and security product that identifies campaign risks and opportunities to CJO and subordinate commanders IOT support, inform and influence operational decision-making.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1058623","2258418.5","1.00","N/A","","","Military","PJHQ","1"
"1058635","N/D","OF-6","Assistant Chief of Staff Operations (J3)","The direction of all UK joint and combined operations.Theatre Operational Assessment, Force Protection, Operational Risk Analysis and Theatre Capability reviews","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1058623","5913292.5","1.00","N/A","","","Military","PJHQ","1"
"1058645","N/D","OF-6","Assistant Chief of Staff Policy & Plans (J5)","Crisis and Contingency Planning. PJHQ operational-level deliberate and contingency planning and campaign development. The provision of OA support to operations and planning. Developing the capability of the PJHQ as an EU OHQ.Managing J5 manpower and delegated budget efficiently within agreed limits.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1058623","2107476.5","1.00","N/A","","","Military","PJHQ","1"
"1617367","N/D","OF-6","Assistant Chief of Staff Personnel/Admin & Logistics (J1/J4)","Personnel/Logistics/Medical/Infrastructure. All logistic aspects of the planning, deployment, sustainment and recovery of UK-led joint, potentially joint, combined and multinational operations. J1/J4 support to PJOBs. Managing J1/J4 manpower and delegated budget efficiently within agreed limits. Issues of logistics propriety","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1058623","3297661.5","1.00","N/A","","","Military","PJHQ","1"
"1058655","N/D","OF-6","Assistant Chief of Staff Communications (J6)","Communication and Information Systems. Planning, directing, deploying, sustaining and recovery of J6 capabilities in support of CJO’s mission, ensuring output is operationally focussed and responsive.Introduction of DII(F) and (FD) across CJO TLB. Managing J6 manpower and delegated budget efficiently within agreed limits.","Ministry of Defence","Ministry of Defence","Joint Forces Command","01923 955 925","PJHQ-J9-FOI@mod.uk","1058623","2695167","1.00","N/A","","","Military","PJHQ","1"
