"Post Unique Reference","Name","Grade","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1058619","N/D","OF-8","Chief of Joint Operations","Chief of Joint Operations","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","XX","990030","1","125000","129999","","Military","Reports to CDS","1"
"1058623","N/D","OF-7","Chief of Staff Operations","Chief of Staff - (Operations) Deputy to Chief of Joint Operations - COS(Ops) is responsible for executing CJO’s primary role; the planning and execution of operations and, by dint of this, is the primus inter-pares of the HQ two-stars and has ultimate responsibility for the coordination, prioritisation and coherence of all staff effort within the HQ.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1058619","N/D","1","105000","109999","","Military","Less than 5 in team so Salary Cost of Reports recorded under CJO.","1"
"1592539","N/D","OF-7","Chief of Staff Joint Warfare Development","Chief of Staff Joint Warfare Development - COS(JWD) undertakes, as discrete tasks, oversight of the development of Joint Warfare Development and of the PJOBs. His supporting tasks include both support to current operations and peacetime HQ functions","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1058619","4670445","1","105000","109999","","Military","","1"
"1058157","Stacey, Graham","OF-7","Commander British Forces Cyprus","Commander British Forces Cyprus - CBF Cyprus is the senior British Officer in Cyprus and Administrator of the Sovereign Base Areas of Akrotiri and Dhekelia.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1058619","N/D","1","105000","109999","","Military","Less than 5 in team so Salary Cost of Reports recorded under CJO.","1"
"00094472","N/D","SCS2","Command Secretary","Permanent Joint Headquarters (United Kingdom) Command Secretary - Comd Sec is the Senior Finance Officer, Civilian Workforce Advisor and Senior Policy Advisor for the Chief of Joint Operations.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1058619","N/D","1","80000","84999","","Finance","Less than 5 in team so Salary Cost of Reports recorded under CJO.","1"
"1058631","N/D","OF-6","Assistant Chief of Staff Intelligence (J2)","AACOS J2 provides authoritative, relevant, and timely, fused intelligence and security product that identifies campaign risks and opportunities to CJO and subordinate commanders to support, inform and influence operational decision-making.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1058623","2441466","1","N/D","","","Military","1*/SCS1 salaries are not declared (N/D)","1"
"1058635","N/D","OF-6","Assistant Chief of Staff Operations (J3)","ACOS J3 provides direction to all UK joint and combined operations.Theatre Operational Assessment, Force Protection, Operational Risk Analysis and Theatre Capability reviews","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1058623","6305016","1","N/D","","","Military","1*/SCS1 salaries are not declared (N/D)","1"
"1058645","N/D","OF-6","Assistant Chief of Staff Policy & Plans (J5)","ACOS J5 carries out Crisis and Contingency Planning, PJHQ operational-level deliberate and contingency planning and campaign development, provision of Operational Analysis support to operations and planning.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1058623","2682077","1","N/D","","","Military","1*/SCS1 salaries are not declared (N/D)","1"
"1617367","N/D","OF-6","Assistant Chief of Staff Personnel/Admin & Logistics (J1/J4)","ACOS J1/4 is responsible for Personnel/Logistics/Medical/Infrastructure, all logistic aspects of the planning, deployment, sustainment and recovery of UK-led joint, potentially joint, combined and multinational operations, and J1/J4 support to PJOBs.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1058623","3903219","1","N/D","","","Military","1*/SCS1 salaries are not declared (N/D)","1"
"1058655","N/D","OF-6","Assistant Chief of Staff Communications (J6)","ACOS J6 is responsible for Communication and Information Systems, planning, directing, deploying, sustaining and recovery of J6 capabilities in support of CJO’s mission.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1592539","2723112","1","N/D","","","Military","1*/SCS1 salaries are not declared (N/D)","1"
"1058640","N/D","OF-6","Assistant Chief of Staff Intelligence Doctrine & Training (J7)","ACOS J7's responsibilities include Joint Training and Preparation, delivery of Joint Force training for CJO, delivery of continuation training for CJO’s Joint Force Command Group, delivery of Joint Mission Preparation for forces deploying on operations to meet the standards prescribed by the Joint Commander.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1592539","4438073","1","N/D","","","Military","1*/SCS1 salaries are not declared (N/D)","1"
"1058663","N/D","OF-6","Commander Joint Force Logistics Operations","CJFLO is the Standing Deployable Logistic Component Commander responsible for preparing and delivering JFLogCHQ for all medium and potentially large scale operations in order to support UK Defence’s response to crises worldwide. Delivery of an alternative option for the UK national JTFHQ potentially for small scale operations that are dominated by logistic activity.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1592539","1396433","1","N/D","","","Military","1*/SCS1 salaries are not declared (N/D)","1"
"1058650","N/D","OF-6","Commander Joint Force Operations","CJFO is the High Readiness Deployable Commander responsible for preparing (including training and exploiting Lessons) and delivering JFHQ at very high readiness in order to support UK Defence’s response to crises worldwide. OPCON of JTFHQ Standing Elements (Communications, J2, Life Support).","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1592539","3033910","1","N/D","","","Military","1*/SCS1 salaries are not declared (N/D)","1"
"1119832","N/D","OF-6","Commander British Force Gibraltar","Commander British Forces Gibraltar - Senior British officer in Gibraltar and Higher Level Budget Holder.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1592539","28345192","1","N/D","","","Military","Total Salary costs include LECs with negotiable pay. 1*/SCS1 salaries are not declared (N/D)","1"
"1029456","N/D","OF-6","Commander British Forces South Atlantic Islands","Commander British Forces South Atlantic Islands - senior British officer in the South Atlantic Islands and Higher Level Budget Holder.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1592539","29458725","1","N/D","","","Military","Total Salary costs include LECs with negotiable pay. 1*/SCS1 salaries are not declared (N/D)","1"
"1058162","N/D","OF-6","Deputy Commander British Forces Cyprus","Deputy Commander British Forces Cyprus - Deputy to CBF Cyprus.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1058157","81743473","1","N/D","","","Military","Total Salary costs include LECs with negotiable pay. 1*/SCS1 salaries are not declared (N/D)","1"
"00094113","N/D","SCS1","Command Secretary British Forces Cyprus","Command Secretary British Forces Cyprus - CBF Cyprus' Comd Sec, Senior Finance Officer and Civilian Workforce Advisor.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","1058157","15279666","1","N/D","","","Finance","Total Salary costs include LECs with negotiable pay. 1*/SCS1 salaries are not declared (N/D)","1"
"00171528","N/D","SCS1","Deputy Command Secretary","Permanent Joint Headquarters (United Kingdom) Deputy Command Secretary - responsible to Comd Sec PJHQ for Top Level Budget functions of Finance, Commercial, HR and Plans/Assurance and PJHQ lead on PJOB policy.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","00094472","1098837","1","N/D","","","Finance","1*/SCS1 salaries are not declared (N/D)","1"
"00191133","N/D","SCS1","Assistant Chief of Staff Finance (J8)","ACOS J8 is responsible through Comd Sec PJHQ for financial support and advice on all aspects of operational finance.and is the Role Manager/Role Owner for all deployed Finance, CivSec and commercial staff.","Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","01923 955 925","PJHQ-J9-FOI@mod.uk","00094472","1099014","1","N/D","","","Finance","1*/SCS1 salaries are not declared (N/D)","1"
