"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"00039784","Vacant","SCS2","Command Secretary (Secretariat)","To ensure the proper and efficient handling of the Department of State aspects of Army issues on behalf of the Commander in Chief Land Forces and the Adjutant General","Ministry of Defence","Ministry of Defence","Army","N/A","LF-Sec-Group@mod.uk","1167535","N/D","0.01","95000","99999","","Policy","Awaiting Dis-establishment Decision","1"
"00043851","Eliminated","SCS2","Director Children and Young People","Responsible for the professional leadership and direction across MOD for Children and Young People’s Services; governance and integration of those services provided by MOD both in UK and overseas, and championing the needs of children and young people who belong to the Services community within the UK context at local authority and national levels.","Ministry of Defence","Ministry of Defence","Army","N/A","LF-Sec-Group@mod.uk","1591920","N/D","1.00","95000","99999","","Operational Delivery","","1"
"00126369","David Stephens","SCS2","Director Resources / Command Secretary","Land Forces Command Secretary Resources’ role is to support CGS, the Commander-in-Chief and subordinate budget holders, in managing the Land Forces Top Level Budget and in resource planning.  As Senior Finance Officer, LF Comd Sec Res is responsible for advice on: the integrity of Land Forces financial systems; the regularity and propriety of expenditure; the achievement of efficiency and value for money; effective corporate governance; and for functional leadership of finance staff across Land Forces TLB.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1167535","N/D","1.00","95000","99999","","Finance","","1"
"00037389","N/D","SCS1","Director Recruit Training (Support)","To provide direction and support to all divisional activities in accordance with DGART's intent and in conjunction with COS.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1272850","N/D","1.00","N/A","","","Operational Delivery","","1"
"00038070","N/D","SCS1","Director Equipment","To achieve better management of the defence land equipment fleets to enable MoD to carry out the same defence role more economically.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1603839","N/D","1.00","N/A","","","Operational Delivery","","1"
"00125818","N/D","SCS1","Director Legal Services (Germany)","DLS(G) is a limb of the MOD’s Central Legal Services and provides legal advice to British Forces in Germany, working directly to the GOC UKSC. The Director’s team is embedded in JHQ Rheindahlen. The Director’s task is to provide independent legal advice to UK forces on all aspects of living in and operating in and from Germany and the European Support Group; to advise on international law; to negotiate international and bilateral agreements; to provide advice to the British delegation at Sending States meetings, and to advise on any questions of German and UK law","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1167888","N/D","1.00","N/A","","","Law","","1"
"00126370","N/D","SCS1","Deputy Command Secretary (Resources and Commercial)","Deputy Command Secretary (Resources and Commercial) supports the Land Forces SFO (Command Secretary Resources) by ensuring the provision of effective systems, processes and skills to enable resource and commercial management by Commanders across the Army; ensuring that decisions at the highest level of Army planning are taken with the fullest cognisance of their financial, contractual, regularity and propriety implications, and to manage the changes necessary to ensure effective delivery of both functions across Land Forces. ","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","00126369","N/D","1.00","N/A","","","Finance","","1"
"00165443","N/D","SCS1","Deputy Command Secretary (Secretariat)","To ensure the proper and efficient handling of the Department of State aspects of Army issues on behalf of the Commander in Chief Land Forces and the Adjutant General","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","00126369","N/D","1.00","N/A","","","Policy","","1"
"00167011","N/D","SCS1","Team Leader","This is a mixed military and civilain team led by a 1* SCS and based in the Army HQ at Andover. In addition to Project AVANTI the team is also responsible for delivering the BORONA Programme. Whilst individual team members do have responsibilities that span both Project AVANTI and the BORONA Programme these are quite separate work strands.","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","1591920","N/D","1.00","N/A","","","Operational Delivery","","1"
"00179104","Vacant","SCS1","Business Manager 1","Business Management at the Duke of York's Royal Military School","Ministry of Defence","Ministry of Defence","Army","N/A","LF-Sec-Group@mod.uk","00039784","N/D","0.01","N/A","","","Operational Delivery","Temp post - awaiting dis-establishment","1"
"00185635","Vacant","SCS1","DYRMS Academy Project Leader","To manage the feasibility and implementation of the movement of Duke of York’s Royal Military School out of MOD ownership to become an independent Academy and State Boarding School operating within the mainstream educational sector; maintaining the military ethos characteristics of the school and providing educational opportunity for the children of mobile Service personnel.","Ministry of Defence","Ministry of Defence","Army","N/A","LF-Sec-Group@mod.uk","00039784","N/D","0.01","N/A","","","Operational Delivery","Temp post - awaiting dis-establishment","1"
"1167535","General Sir P Wall KCB CBE ADC Gen","OF-9","Chief of the General Staff","CGS is the professional head of the Army. He is responsible for generating a balanced and integrated Army capability, and for maintaining the fighting effectiveness, efficiency and morale of the Service. He reports to the Chief of the Defence Staff (CDS). As a member of the Defence Council and the Army Board, the Defence Ministerial Committee, the Defence Board, the Chiefs of Staff Committee and the Senior Appointments Committee he contributes to the conduct of Defence higher level business, with a particular responsibility for providing specialist advice on Army matters. He chairs the Executive Committee of the Army Board. Please note that this data should not be used for manpower comparisons. Official MOD data may be found at: http://www.dasa.mod.uk/","Ministry of Defence","Ministry of Defence","Army","01264 886108","LF-Sec-Group@mod.uk","XX","0","1.00","185000","189999","","Military","","1"
