"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1105340","Admiral Sir Mark Stanhope GCB OBE ADC","OF-9","First Sea Lord (1SL) / Chief of Naval Staff","The Royal Navy's professional head and Chairman of the Navy Board. He is responsible to the Secretary of State for the fighting effectiveness, efficiency and morale of the Naval Service, and as a member of the Defence Council supports the Secretary of State in the management and direction of the Armed Forces through prerogative and statutory powers. As a member of the Armed Forces Committee, he contributes to CDS' formulation of military strategic advice, and advice to Defence Board decisions on Departmental strategy and high level requirements as they relate to the Naval Service. He is also the Top Level Budget Holder for Navy Command, being accountable for delivering agreed outputs within the delegated budgets. He thus holds both Single-Service Executive Committee and Departmental responsibilities.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","xx","16133150","1.00","165000","169999","","Military","Salary costs include 1SL/CNH, Fleet Commander/DCNS. CNP&T/2SL, Deputy Flt Commd and Director Resources, Assistant Chief Naval Staff (Pol), Cdre Naval staff & teams","1"
"1123043","Admiral George Zambellas DSC","OF-9","Fleet Commander / Deputy Chief of Naval Staff (DCNS)","The Fleet Commander has full command of all deployable Fleet units including the Royal Marines. He is responsible for providing ships, submarines, aircraft and Royal Marine units ready in all respects for any operations that the UK Government requires. As a NATO Commander, he is the maritime advisor to the Joint Force Commander (Brunssum) and is tasked to ensure NATO maritime forces are ready to engage in joint and combined operations as required by the North Atlantic Council. He is also directly responsible for elements of the Standing NATO Response Force.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1105340","N/D","1.00","165000","169999","","Military","Team salary costs included in 1105340","1"
"1121821","Vice Admiral Charles Montgomery CBE ADC","OF-8","Chief of Naval Personnel and Training (CNP&T) / Second Sea Lord (2SL)","The Chief of Naval Personnel and Training and Second Sea Lord (CNPT/2SL) is the Principal Personnel Officer (PPO) for the Naval Service. He has direct responsibility to 1SL/CNS for acting as the personnel champion for all Naval Service personnel wherever they are serving, regardless of which TLB or other organisation employs them. As the PPO he develops Royal Navy policies and influences Defence-wide policies that enable the Royal Navy to be populated by sufficient, capable and motivated personnel now and in the future. He is responsible for the non-deployable Fleet organisations and infrastructure covering such areas as training establishments and their personnel, Reserves in the UK and recruiting personnel and offices.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1105340","304481858","1.00","125000","129999","","Military","Salary Costs include all teams under CNP&T/2SL and Service Margin","1"
"1121797","Vice Admiral Phillip Jones CB","OF-8","Deputy Fleet Commander","Deputy Fleet Commander's primary purpose is to lead NCHQ in the delivery of Navy Command objectives in accordance with the Framework document. He also deputises for the Fleet Commander in his absence. As the Chief of Staff NCHQ, he coodrdinates and integrates the work of the HQ and optimises outputs within the funded programme in accordance with Navy Command Framework and Fleet Commander's and CNPT's annual priorities.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1123043","693519795","1.00","125000","129999","","Military","Salary Costs include all teams under Deputy Fleet Commander","1"
"155423","N/D","SCS2","Director Resources (D Res)","The Director Resources works directly to 1SL as the TLB Holder, supporting the Fleet Commander, 2SL, and her fellow 2* colleagues in the delivery of their responsibilities. Through this she empowers, enables and resources the TLB in order that it may pursue its policy and operational objectives. The Director Resources is responsible for providing the Department of State contribution through the provision of advice to Ministers and Parliament on Navy Command business and to the wider Navy Command on political and politico-legal issues. As the Senior Finance Officer, she ensures that appropriate financial programming, financial budgeting and accounting, and financial propriety and regulatory support, including corporate governance advice is in place. As the Civilian Workforce Advisor, she ensures efficient and effective employment of all civilian personnel, including the Royal Fleet Auxilliary.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1123043","N/D","1.00","90000","94999","","Other","Team costs included in 1105340","1"
"1105390","Rear Admiral MJ Parr","OF-7","Assistant Chief of the Naval Staff (Policy)","On behalf of the First Sea Lord and through the Admiralty and Navy Boards, ACNS (Pol) is responsible for the direction and development of strategic policy and strategy for the Royal Navy and for providing high level guidance and prioritisation to the single Naval Staff for the delivery of the Service's military outputs both now and into the future.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1105340","N/D","1.00","105000","109999","","Military","Team costs included in 1105340","1"
"1079272","N/D","OF-7","Commander UK Maritime Forces (COMUKMARFOR)","COMUKMARFOR is the Royal Navy’s 2* formation level commander, providing a rapidly deployable maritime, amphibious, joint, coalition or national contingent headquarters staff and is also responsible for generating the RN’s 2 x 1* deployable commanders (COMUKTG and DCMF) and their staff.  COMUKMARFOR is currently commanding the European Union’s Naval counter piracy mission (Operation ATALANTA) and also fulfils the duties of Rear Admiral Surface Ships (RASS).","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1121797","N/D","1.00","105000","109999","","Military","Team costs included in 1121797","1"
"1082197","Major General Ed Davis CBE","OF-7","Commander UK Amphibious Forces (COMUKAMPHIBFOR) / Commandant General Royal Marines (CGRM)","Commander of the UK Amphibious Forces (CAF) is a rapidly deployable amphibious land, maritime, joint or national contingent headquarters staff which is currently the RN's standing 2* contingency formation headquarters. Commandant General Royal Marines (CGRM) is the head of service for over 6800 Royal Marines and is responsible for all regimental and representational matters. CGRM is also a member of the Navy Board.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1121797","N/D","1.00","105000","109999","","Military","Team costs included in 1121797","1"
"1123122","Rear Admiral Ian Corder MA","OF-7","Commander Maritime Operations (COMOPS)","Commander Operations (COMOPS) has three broad areas of responsibility; On behalf of the FLEET Commander he exercises operational command over all operational Fleet units worldwide, including Royal Marines, outside the PJHQ JOA. In addition, he is Rear Admiral Submarines and 'Tribal Chief' of the submarine service, and the NATO Commander Submarine Forces North (COMSUBNORTH or CSN).","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1121797","N/D","1.00","105000","109999","","Military","Team costs included in 1121797","1"
"1125222","Rear Admiral Tom Cunningham","OF-7","Assistant Chief of Naval Staff (Aviation & Carriers)","ACNS(A&C) is responsible for delivering aviation Force Elements at Readiness in accordance with the RN plan and arising, contingent events. This includes all RN fixed and rotary wing assets, the two Naval Air Stations and the generation of aircraft carriers and carrier capability. He is the lead, on behalf of the Fleet Commander, for the development of the future Carrier Strike capability. As the Navy’s Aviation Operational Duty Holder, he is personally, legally accountable for the safe execution of maritime aviation by all Royal Navy units, including aircraft, ships and submarines. ACNS(A&C) is also Rear Admiral Fleet Air Arm in which role, as a Head of a Naval Fighting Arm, he is responsible for the professional effectiveness, ethos and spirit of all Fleet Air Arm personnel.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1121797","N/D","1.00","105000","109999","","Military","Team costs included in 1121797","1"
"1119941","Rear Admiral Peter Hudson CBE","OF-7","Assistant Chief of Naval Staff (Capability)","ACNS (CAP) is the Chairman of the Maritime Capability Board and is responsible for Planning and Delivery of the majority of future Maritime capabilities delegated by Head Office to the First Sea Lord. In this role he works closely with Director Resources, ACNS (Support), ACNS (Aviation and Carriers) and Head Office Director of Strategic Projects to deliver a Command Plan that meets the endorsed Defence Final Outputs, balancing the need to invest in existing capabilities with a longer term capital investment programme ensuring the Royal Navy evolves to meet the future operating environment.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1121797","N/D","1.00","105000","109999","","Military","Team costs included in 1121797","1"
"1116716","Rear Admiral David Steel CBE","OF-7","Assistant Chief of Naval Staff (Personnel) (ACNS Pers) / Naval Secretary (NAVSEC)","ACNS(Pers)/NAVSEC is responsible for the sustainable delivery of sufficient, capable and motivated personnel to the Naval Service in support of Defence Outcomes. The Personnel Division numbers 800 and the Admiral is responsible for all aspects (non-operational) of Personnel within the Naval Service. As Naval Secretary he works with the First Sea Lord to manage the Flag and General Officers Plot. He is also Chief Naval Logistics Officer as Head of the Logistics Branch of the Naval Service.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1121821","N/D","1.00","105000","109999","","Military","Team costs included in 1121821","1"
"1129143","Rear Admiral C J Hockley MA MSc Ceng CMarEng FI-MarEst FCMI","OF-7","Flag Officer Scotland, Northern England and Northern Ireland (FOSNNI)","In this role he is the Royal Navy's senior officer in Scotland although he has representational duties across the UK outside baseport areas. He is responsible for all Royal Navy and Royal Marines recruiting, cadet forces and the service's engagement with society across the UK. As Flag Officer Reserves he commands the Royal Naval and Royal Marines Reserves.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1121821","N/D","1.00","105000","109999","","Military","Team costs included in 1121821","1"
"1083930","Rear Admiral Clive Johnstone CBE","OF-7","Flag Officer Sea Training (FOST)","FOST is the RN Chief of Staff (Training) and commands the Naval Training Command. This comprises all Naval Training including, for individuals: initial generic Naval Training for Officers and Ratings; initial Career/Professional training prior to employment; career continuation and promotion training and Theatre-specific training. For ships and submarines; collective training at all levels comprising Tier 1 (initial capability training); Tier 2 (applied training for specific roles) and national task group training through Exercise JOINT WARRIOR twice per year. Additionally FOST supports 1SL's Influence Strategy through Strategic Leaders Engagement Initiative.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1121821","N/D","1.00","105000","109999","","Military","Team costs included in 1121821","1"
"1370293","The Reverend Scott J Brown QHC BD","OF-7","Chaplain of the Fleet","Headquarters of the Royal Naval Chaplaincy Service","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1121821","N/D","1.00","90000","94999","","Military","Team costs included in 1121821","1"
"157333","N/D","SCS1","Head of Communications and Secretariat","To deliver for the Naval Service the Department of State function of accountability to Parliament and public, with the overall objective of managing and improving the reputation of the Naval Service both internally and externally, while ensuring appropriate presentation to Ministers and Senior Officials.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","155423","N/D","0.60","0","0","","Other","Team costs included in 1105340","1"
"155422","Eliminated","SCS1","Deputy Command Secretary Enabling Services (DCS ES)","To enable the delivery of Naval Service outputs through the management and the improvement of services that complement those provided centrally by the MOD.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","155423","N/D","0.01","0","0","","Military","N/A","1"
"1105593","N/D","OF-6","Commodore Naval Staff","To lead the Naval Staff Directorate in providing support to 1SL, ACNS and the Navy Board; including the development of strategy and policy, and the delivery of strategic level engagement across defence, internationally, and with the wider maritime community for the Royal Navy.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1105390","N/D","1.00","0","0","","Military","Team costs included in 1105340","1"
"1485456","N/D","OF-6","Commander UK Task Group (COMUKTG)","As the COMUKTG he is the high readiness 1* Commander for the Responsive Force Task Group (RFTG), the RN's deployable scaleable maritime task group. His mission is to command assigned joint, National, NATO, EU and coalition forces in order to conduct maritime amphibious operations and exercises. In addition to his RFTG responsibilities, he remains the national Commander Amphibious Task Force and the Commander of the UK/NL Amphibious Group.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1079272","N/D","1.00","0","0","","Military","Team costs included in 1121797","1"
"1086257","N/D","OF-6","Commander Portsmouth Flotilla (COMPORFLOT)","Responsible for promoting OC through provision of clear guidance, leadership and support to PORFLOT DD/FF, MM/PP and Diving Squadrons and to provide local engineering assurance to all Portsmouth-based units on behalf of CSO(E). We direct action whether leadership, training, engineering, people issues or logistic, but we do not develop company policy. It is central to our role to maintain close working relationships with PORFLOT ships, via regular visits, routine contact, assessment and inspections. The WMO, although reporting to DN Pers, remains fully embedded within the Flotilla and ensures optimum manning is achieved at sea and employment in Base port.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1123122","N/D","1.00","0","0","","Military","Team costs included in 1121797","1"
"1086570","N/D","OF-6","Commander Devonport Flotilla (COMDEVFLOT) and Deputy Rear Admiral Submarines","As Navy Command HQ's representative on the Waterfront in Devonport, COMDEVFLOT is tasked to optimise and assure the Force Generation and operational capability of all units within the Devonport Flotilla as well as act as their Administrative authority. Flotilla staff comprises approximately 50 staff who support the Flotilla through sea riding units, conducting alongside visits and representing unit issues to NCHQ, DES and other organisations.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1123122","N/D","1.00","0","0","","Military","Team costs included in 1121797","1"
"1591647","N/D","OF-6","Commander Faslane Flotilla (COMFASFLOT)","Command of the Faslane Flotilla which consists of submarines, 4 VANGUARD Class SSBNs (providing the UK National deterrent), 1 ASTUTE Class SSN (currently 3 more being built in Barrow), 7 Mine Countermeasures Vessels of the First MCM Squadron and 2 Patrol Boats of the Faslane Patrol Boat Squadron. FASLFOT provides administrative and engineering support to the generation, operation and assurance of these platforms as well as being responsible to ACNS(Spt) for Force Generation of Force Elements at Readiness.","Ministry of Defence","Ministry of Defence","Navy Command TLB","02392 628695","FLEET-DCS FOICELL-f@MOD.UK","1123122","N/D","1.00","0","0","","Military","Team costs included in 1121797","1"
