Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Profession,Notes,Valid?
1105340,Admiral Sir Mark Stanhope,OF-9,First Sea Lord (1SL) / Chief of Naval Staff,"The Royal Navy's professional head and Chairman of the Navy Board. He is responsible to the Secretary of State for the fighting effectiveness, efficiency and morale of the Naval Service, and as a member of the Defence Council supports the Secretary of State in the management and direction of the Armed Forces through prerogative and statutory powers. As a member of the Chiefs of Staff Committee, he advises CDS on maritime strategy and policy whilst as a member of the Defence Board, he has a collective responsibility for providing strategic direction to the department, managing performance and ensuring that Defence delivers the required outputs. He is also the Top Level Budget holder for the Naval Sector and advises the Permanent Under Secretary on resource allocation and budgetary planning in light of defence policy and naval priorities. He thus holds both Single-Service Executive Committee and Departmental responsibilities.",Ministry of Defence,Ministry of Defence,Navy Command TLB,02392 628695,FLEET-DCS FOICELL-f@MOD.UK,XX,437725,1,N/D,,,Military,,1
1123043,Admiral Sir Trevor Soar,OF-9,Commander-in-Chief Fleet (CINCFLEET),"CINC has full command of all deployable Fleet units including the Royal Marines. He is responsible for providing ships, submarines, aircraft and Royal Marine units ready in all respects for any operations that the UK Government requires. As a NATO Commander, he is the maritime advisor to the Joint Force Commander (Brunssum) and is tasked to ensure NATO maritime forces are ready to engage in joint and combined operations as required by the North Atlantic Council. He is also directly responsible for elements of the Standing NATO Response Force.",Ministry of Defence,Ministry of Defence,Navy Command TLB,02392 628695,FLEET-DCS FOICELL-f@MOD.UK,1105340,399319,1,N/D,,,Military,,1
1121797,Vice Admiral George Zambellas,OF-8,Deputy Commander-in-Chief Fleet and Chief of Staff Navy Command HQ (DCINC),"DINCFLEET's primary purpose is to lead NCHQ in the delivery of Navy Command objectives in accordance with the Framework document. As the Chief of Staff NCHQ, he coodrdinates and integrates the work of the HQ and optimises outputs within the funded programme in accordance with Navy Command Framework and CINCFLEET'S and 2SL/CNH's annual priorities.",Ministry of Defence,Ministry of Defence,Navy Command TLB,02392 628695,FLEET-DCS FOICELL-f@MOD.UK,1123043,526569,1,N/D,,,Military,Salary Cost of Reports include posts from 1119941 and 1125222.,1
1121821,Vice Admiral Charles Montgomery,OF-8,Second Sea Lord (2SL) and Commander-in-Chief Naval Home Command,"The Second Sea Lord (2SL) is both the Principal Personnel Officer (PPO) and Commander-in-Chief Naval Home Command (CNH). He has direct responsibility to 1SL/CNS for acting as the personnel champion for all Naval Service personnel wherever they are serving, regardless of which TLB or other organisation employs them. As the PPO he develops Royal Navy policies and influences Defence-wide policies that enable the Royal Navy to be populated by sufficient, capable and motivated personnel now and in the future. As CNH, he is responsible for the non-deployable Fleet organisations and infrastructure covering such areas as training establishments and their personnel, Reserves in the UK and recruiting personnel and offices.",Ministry of Defence,Ministry of Defence,Navy Command TLB,02392 628695,FLEET-DCS FOICELL-f@MOD.UK,1105340,1480527,1,N/D,,,Military,,1
1079272,N/D,OF-7,Commander UK Maritime Forces (COMUKMARFOR),COMUKMARFOR is the Royal Navy's 2* formation level commander and moreover he is also responsible for generating the RN's 2 x 1* deployable commanders (COMUKTG and DCMF) and their staff.,Ministry of Defence,Ministry of Defence,Navy Command TLB,02392 628695,FLEET-DCS FOICELL-f@MOD.UK,1121797,3370439,1,N/D,,,Military,,1
1082197,Major General Buster Howes,OF-7,Commander UK Amphibious Forces (COMUKAMPHIBFOR) / Commandant General Royal Marines (CGRM),"Commander of the UK Amphibious Forces (CAF) is a rapidly deployable amphibious land, maritime, joint or national contingent headquarters staff which is currently commanding the European Union's Naval mission to deter piracy off the coast of Somalia (Operation ATALANTA). Commandant General Royal Marines (CGRM) is the head of service for over 7000 Royal Marines and is responsible for all regimental and representational matters. CGRM is also a non-voting member of the Navy Board.",Ministry of Defence,Ministry of Defence,Navy Command TLB,02392 628695,FLEET-DCS FOICELL-f@MOD.UK,1121797,2080253,1,N/D,,,Military,,1
1123122,Rear Admiral Ian Corder,OF-7,Commander Maritime Operations (COMOPS),"Commander Operations (COMOPS) has three broad areas of responsibility; On behalf of CINCFLEET he exercises operational command over all operational Fleet units worldwide, including Royal Marines, outside the PJHQ JOA. In addition, he is Rear Admiral Submarines and 'Tribal Chief' of the submarine service, and the NATO Commander Submarine Forces North (COMSUBNORTH or CSN).",Ministry of Defence,Ministry of Defence,Navy Command TLB,02392 628695,FLEET-DCS FOICELL-f@MOD.UK,1121797,27048443,1,N/D,,,Military,,1
1125222,N/D,OF-7,Chief of Staff Aviation & Carriers (COS AVN),"COS(AVN) is responsible for delivering aviation Force Elements at Readiness in accordance with the RN plan and arising events, which includes all RN fixed and rotary wing assets and the generation of carriers and carrier capability. He is the lead, on behalf of CINC, for the development of the future Carrier Strike capability. He also holds legal responsibility for the safe and appropriate manner in which maritime aviation is conducted as the Aviation Operational Duty Holder implemented by the recently formed Military Aviation Authority. COS(A&C) is also responsible, as a Fighting Arm Head, for the professional effectiveness, ethos and spirit of all FAA personnel at home and abroad in a full Command capacity as Rear Admiral Fleet Air Arm.",Ministry of Defence,Ministry of Defence,Navy Command TLB,02392 628695,FLEET-DCS FOICELL-f@MOD.UK,1121797,103288,1,N/D,,,Military,,1
1119941,Rear Admiral Peter Hudson,OF-7,Chief of Staff of Capability (COS CAP),"COS(CAP) is an Operating Board Member and Principle Executive Staff Officer within the Royal Navy's Front Line Operational Headquarters of 1,200 military and civilian staff. He and his team are responsible for the comprehensive Force Generation and preparation of Royal Navy warships, nuclear submarines and Royal Marines personnel for operations worldwide, and responsible for the programming of the 4 year equipment and support budget to underpin their materiel availability. COS(CAP) has a close working relationship with COS(Aviation and Carriers) in the generation of maritime aviation and carrier capability.",Ministry of Defence,Ministry of Defence,Navy Command TLB,02392 628695,FLEET-DCS FOICELL-f@MOD.UK,1121797,N/D,1,N/D,,,Military,Less than 5 posts - Salary Cost of Reports included in post 1121797,1
1105390,Rear Admiral Philip Jones,OF-7,Assistant Chief of the Naval Staff (ACNS),"On behalf of the First Sea Lord and through the Admiralty and Navy Boards, ACNS is responsible for the direction and development of strategic policy and strategy for the Royal Navy and for providing high level guidance and prioritisation to the single Naval Staff for the delivery of the Service's military outputs both now and into the future.",Ministry of Defence,Ministry of Defence,Navy Command TLB,02392 628695,FLEET-DCS FOICELL-f@MOD.UK,1105340,838955,1,N/D,,,Military,,1
